model,Accuracy,Macro F1,Precision,Recall,Exact Match
LR (individual),0.5662,0.5211,0.2926,0.5183,0.349
SVM (individual),0.7492,0.4294,0.2083,0.0011,0.3547
XGBoost (individual),0.5925,0.5401,0.3091,0.5102,0.3503
Soft Voting (LR + SVM + XGBoost),0.7528738902799909,0.46425203507139157,0.5896980461811723,0.03778738902799909,0.34498065103573866
Hard Voting (LR + SVM + XGBoost),0.6439221488732074,0.5529151356934312,0.3225099980956008,0.3854996585476895,0.34623264284088323
"Stacking (meta-LR, half-dev)",0.5745504211245163,0.5336483082212229,0.30798287584991185,0.552643470402169,0.29919825072886297
